node_label,value
204,-0.00017723007
225,-0.00017417382
554,-0.00020857633
564,-0.0002163016
565,-0.00020782894
566,-0.00026985034
572,-0.00029223136
993,-0.00021666636
1117,-0.00020472768
1121,-0.00020252864
1153,-0.0002457426
1213,-0.00021084712
1319,-0.00024301435
1392,-0.00025976702
1489,-0.00021595946
1490,-0.00022596767
1548,-0.00020943553
1614,-0.00020064638
1654,-0.00017949984
1737,-0.00031036645
1818,-0.00030736695
1852,-0.00023284025
1876,-0.00029717485
2019,-0.00027427272
2140,-0.0002000613
2222,-0.00021497004
2449,-0.00030334402
2450,-0.00020655135
2470,-0.00022010949
2478,-0.00018228395
2495,-0.00024594454
2513,-0.00020670645
2560,-0.00019847103
2688,-0.00020217533
2715,-0.00021068731
2861,-0.00030452863
2919,-0.00020955259
3066,-0.00027844615
3167,-0.00025283278
3232,-0.00026407125
3261,-0.00019854048
3331,-0.00019970964
3445,-0.00022524201
3662,-0.0001955352
3702,-0.00023621561
3703,-0.00020722895
4027,-0.0002849499
4045,-0.00024461444
4426,-0.00017416927
4549,-0.0002816771
4779,-0.0001823845
4813,-0.00025035438
5089,-0.00022678653
5090,-0.00025241665
5142,-0.00018701948
5849,-0.00023989688
5856,-0.00026299903
6299,-0.00020955468
6824,-0.0001913418
7379,-0.00026275488
7510,-0.00024044994
7700,-0.0001839283
8930,-0.00025326246
10862,-0.000206341
11395,-0.00020625784
11855,-0.00018770069
12075,-0.00019632987
12186,-0.00020696988
12205,-0.00017781554
12445,-0.0001968496
13407,-0.00022670583
13828,-0.00021790576
14318,-0.00022719134
14372,-0.00020348464
15003,-0.0001935764
15956,-0.00020179148
15980,-0.00023327199
16243,-0.0002015277
16504,-0.00023080326
16547,-0.00021131341
18044,-0.00019561325
18444,-0.0003006537
18699,-0.00021982865
19096,-0.00019822776
19262,-0.0001782801
19504,-0.00018742509
22692,-0.00017361071
22928,-0.000216199
23311,-0.0001898866
23328,-0.00022023573
23480,-0.00020166756
25109,-0.00022204686
25389,-0.0002146993
26338,-0.00017243114
27007,-0.00017679905
27731,-0.00020933646
28775,-0.00018942403
28794,-0.00021071578
29355,-0.00020220698
29901,-0.00021357837
30155,-0.00020687756
30253,-0.00021900692
30613,-0.00018141845
31345,-0.00020808766
31656,-0.00021318845
32720,-0.00021402838
33053,-0.0001913338
33207,-0.0002074996
33334,-0.00017838385
35106,-0.00018591507
35647,-0.00018883773
35728,-0.00019079247
37137,-0.00021741036
37375,-0.00018098067
37848,-0.00017636866
38000,-0.00021458059
38641,-0.00020705853
39402,-0.00023465623
39762,-0.00017602583
39930,-0.00021725384
40521,-0.00019276296
41076,-0.00020368221
41161,-0.00020470034
42546,-0.0002059002
43252,-0.00021716085
43725,-0.00020503883
43901,-0.00018157183
44409,-0.00017331562
45070,-0.00022104739
45877,-0.00020329477
45975,-0.00019607253
46314,-0.00019763438
47853,-0.00022096322
48022,-0.00017658598
48383,-0.00022385614
48846,-0.00021736034
49770,-0.00018610377
49978,-0.00022276655
50342,-0.00022311526
50763,-0.000182259
51442,-0.00019080396
52484,-0.00018978844
52512,-0.00022389316
55436,-0.00023033902
57127,-0.00023174097
57134,-0.00027207145
57821,-0.00020293445
59331,-0.00019938378
59552,-0.00027180518
59887,-0.0002237241
59981,-0.00021567817
60787,-0.00023856203
62049,-0.0001850225
64252,-0.00024837986
64449,-0.0002462267
64558,-0.00024115991
66426,-0.000254345
69522,-0.00025712154
69701,-0.00023931911
70783,-0.00026906285
71268,-0.00028993157
71476,-0.00019169455
71630,-0.0002521881
73652,-0.00024667106
74274,-0.0002800685
74566,-0.00025076733
75118,-0.00018058813
76182,-0.00024088238
76183,-0.00028646848
